"","id","status","p_value","morans_test_statistic","morans_I","gene_ids","feature_types","n_cells","mt","ribo","hb","n_cells_by_counts","mean_counts","pct_dropout_by_counts","total_counts","highly_variable","means","dispersions","dispersions_norm","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"1312","NFAT5","OK",1.52576768555594e-280,35.7716215726375,0.0443704561431565,"NFAT5","Gene Expression",151500,FALSE,FALSE,FALSE,151500,1.1470468044281,44.1888222920527,311367,TRUE,0.542599159957847,0.879805776767197,0.771284103393555,"NFAT5",2.28426713843289e-280,"2","1",1.25305164900006,-0.0955354942002392
"1313","NFATC3","OK",0,52.4395252630332,0.0650543195987397,"NFATC3","Gene Expression",155022,FALSE,FALSE,FALSE,155022,1.30051469802856,42.8913505568224,353026,TRUE,0.567071597897817,0.833292677250093,0.645480215549469,"NFATC3",0,"7","1",0.579870592023738,-2.10976395737315
"1314","NFIA","OK",0,57.5311448419637,0.0713678618540281,"NFIA","Gene Expression",57853,FALSE,FALSE,FALSE,57853,0.625099897384644,78.6874979278028,169684,TRUE,0.266835084615674,1.4834759680515,1.46695590019226,"NFIA",0,"5","1",1.82359350767315,2.91990103591298
"1315","NFKB1","OK",9.46286603170008e-148,25.859702404671,0.0320703216140016,"NFKB1","Gene Expression",134952,FALSE,FALSE,FALSE,134952,0.903956890106201,50.2849501383307,245380,TRUE,0.461198822993213,0.860465455399832,0.718974351882935,"NFKB1",1.25130791942024e-147,"3","1",1.73259867277325,-1.75213775765086
"1316","NFKBIA","OK",0,62.3978775620016,0.0774119273220059,"NFKBIA","Gene Expression",131661,FALSE,FALSE,FALSE,131661,0.972230732440948,51.4973236422043,263913,TRUE,0.472214373071734,1.09783473241794,1.36098659038544,"NFKBIA",0,"6","1",-2.23436604890644,3.82041969168996
"1317","NFKBIZ","OK",0,63.2433541857368,0.0784610286615794,"NFKBIZ","Gene Expression",127097,FALSE,FALSE,FALSE,127097,1.05481648445129,53.1786583950695,286331,TRUE,0.522251635036777,1.36254762266574,2.07695484161377,"NFKBIZ",0,"6","1",-1.98801289949238,3.29225315917348
"1318","NHSL1","OK",1.68334531634557e-105,21.7829515460326,0.0270076913735796,"NHSL1","Gene Expression",24081,FALSE,FALSE,FALSE,24081,0.121270507574081,91.1287856740259,32919,TRUE,0.0855860397129788,1.0216078562866,0.782716512680054,"NHSL1",2.12998885201224e-105,"8","1",1.73861445036114,1.51757093537663
"1319","NHSL2","OK",2.49424671676275e-46,14.2425338840042,0.0176527529418647,"NHSL2","Gene Expression",30648,FALSE,FALSE,FALSE,30648,0.1387580037117,88.7095645254576,37666,TRUE,0.095004110994589,0.881635658831826,0.57535320520401,"NHSL2",2.93507067065702e-46,"2","1",0.293368230726131,0.179843627103319
"1320","NIBAN1","OK",0,95.1065807390627,0.118001000081013,"NIBAN1","Gene Expression",89492,FALSE,FALSE,FALSE,89492,0.602009177207947,67.0319873568342,163416,TRUE,0.334830174344772,1.05108535818852,1.23454356193542,"NIBAN1",0,"2","1",0.328589330579646,0.224429182895174
"1321","NIN","OK",0,142.374540837399,0.176658157969798,"NIN","Gene Expression",125340,FALSE,FALSE,FALSE,125340,1.00313127040863,53.8259207002369,272301,TRUE,0.462178197799656,0.976558901419502,1.03297209739685,"NIN",0,"5","1",0.848842988874324,1.90099599231099
"1322","NIPAL2","OK",1.13333662377396e-129,24.1992293767824,0.030006508000558,"NIPAL2","Gene Expression",27426,FALSE,FALSE,FALSE,27426,0.131603866815567,89.8965190771078,35724,TRUE,0.0924952065452612,0.993828280235157,0.741562187671661,"NIPAL2",1.4734083118808e-129,"5","1",1.0147904261607,2.29880907405232
"1323","NKAIN2","OK",5.03250607690078e-79,18.7847547748975,0.0232783320007973,"NKAIN2","Gene Expression",4889,FALSE,FALSE,FALSE,4889,0.0438605844974518,98.1989382982564,11906,TRUE,0.0255924533897978,2.96941460950995,3.66831541061401,"NKAIN2",6.16201096607593e-79,"5","1",1.79456556883038,2.47603299487447
"1324","NKAIN3","OK",0,66.0662767836064,0.0819186913695762,"NKAIN3","Gene Expression",5646,FALSE,FALSE,FALSE,5646,0.0359622910618782,97.9200666050226,9762,TRUE,0.0172719301306882,1.52612596521855,1.53014028072357,"NKAIN3",0,"13","1",-0.956503023241154,-5.12351617943431
"1325","NKG7","OK",0,290.874004167217,0.360860306081473,"NKG7","Gene Expression",29572,FALSE,FALSE,FALSE,29572,0.211242541670799,89.1059528238982,57342,TRUE,0.216283470379055,1.32533931692929,1.23268270492554,"NKG7",0,"12","1",-4.90281855020343,-1.2806070817628
"1326","NLK","OK",0,95.9159553092005,0.11900575380222,"NLK","Gene Expression",119518,FALSE,FALSE,FALSE,119518,0.967662692070007,55.9706908429146,262673,TRUE,0.417162064194047,1.16593036635167,1.54516470432281,"NLK",0,"3","1",1.21978224363507,-2.07983074318553
"1327","NLRP1","OK",0,77.2128293436594,0.0957874489155619,"NLRP1","Gene Expression",28272,FALSE,FALSE,FALSE,28272,0.13923691213131,89.584860619412,37796,TRUE,0.108351244981932,0.987305313802297,0.731898665428162,"NLRP1",0,"1","1",1.61022413816632,3.75938215125417
"1328","NLRP3","OK",0,53.9147891183693,0.0668841705668066,"NLRP3","Gene Expression",79317,FALSE,FALSE,FALSE,79317,0.437603831291199,70.780361833259,118788,TRUE,0.277775981271779,0.957087521237346,0.687132179737091,"NLRP3",0,"5","1",0.775390993024715,1.80164816249227
"1329","NOTCH2","OK",0,41.2829514574143,0.0512089616941964,"NOTCH2","Gene Expression",86773,FALSE,FALSE,FALSE,86773,0.492302477359772,68.0336414306818,133636,TRUE,0.280249582614401,0.863602950241027,0.548638463020325,"NOTCH2",0,"7","1",0.47428978529156,-2.11605081688548
"1330","NPC2","OK",0,81.7943474273086,0.101481862130764,"NPC2","Gene Expression",150154,FALSE,FALSE,FALSE,150154,1.12665271759033,44.6846760557154,305831,TRUE,0.546723522003003,1.09295211705673,1.347780585289,"NPC2",0,"6","1",-0.574276079271428,4.19130244124745
"1331","NPDC1","OK",0,255.437413590966,0.316953451995891,"NPDC1","Gene Expression",38634,FALSE,FALSE,FALSE,38634,0.321627110242844,85.7675970985555,87306,TRUE,0.158280453578935,1.29434430229133,1.18676483631134,"NPDC1",0,"6","1",-0.774722684953801,3.88085498679494
"1332","NR3C1","OK",4.35745613843664e-236,32.7880546141403,0.0406680097520119,"NR3C1","Gene Expression",142235,FALSE,FALSE,FALSE,142235,0.994444668292999,47.6019613116179,269943,TRUE,0.538407989174989,1.20363882406072,1.64715468883514,"NR3C1",6.29746088245628e-236,"8","1",1.13653982725323,0.893603436835756
"1333","NR3C2","OK",7.25022265521899e-30,11.2912232180737,0.0139898873076133,"NR3C2","Gene Expression",21768,FALSE,FALSE,FALSE,21768,0.103329882025719,91.9808731594284,28049,TRUE,0.0672345306075015,0.91670287577702,0.627303898334503,"NR3C2",8.29734432371025e-30,"8","1",1.76410330381573,1.56520827878331
