"","id","status","p_value","morans_test_statistic","morans_I","gene_ids","feature_types","n_cells","mt","ribo","hb","n_cells_by_counts","mean_counts","pct_dropout_by_counts","total_counts","highly_variable","means","dispersions","dispersions_norm","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"1","AAK1","OK",2.22144099230161e-303,37.2115264164158,0.0525555284308438,"AAK1","Gene Expression",109815,FALSE,FALSE,FALSE,109815,0.700612604618073,59.5451849505067,190182,TRUE,0.442610375681915,1.25041633575876,1.7736736536026,"AAK1",4.5387088509378e-303,"1","1",1.7599574174174,1.94651152405642
"2","ABCA1","OK",3.12098172122975e-33,11.9532703975025,0.0168624197413161,"ABCA1","Gene Expression",19589,FALSE,FALSE,FALSE,19589,0.0902372822165489,92.7835963028318,24495,TRUE,0.0753436224614146,1.15158886330967,0.975278258323669,"ABCA1",3.88537987278542e-33,"6","1",0.281557187009687,-2.04298858132459
"3","ABCB1","OK",0,137.239410458606,0.193888894364773,"ABCB1","Gene Expression",26495,FALSE,FALSE,FALSE,26495,0.160684615373611,90.2394907368181,43618,TRUE,0.0658999969923143,1.03942476676671,0.809111595153809,"ABCB1",0,"2","1",0.511252030301923,-3.2764627763281
"4","ABCC4","OK",0,192.09162235384,0.271404204059812,"ABCC4","Gene Expression",112739,FALSE,FALSE,FALSE,112739,0.915439605712891,58.4680108012127,248497,TRUE,0.436430894481976,0.86655245458812,0.735437870025635,"ABCC4",0,"7","1",-0.420143023561602,3.22400309357546
"5","ABCG1","OK",0,51.0963763344677,0.0721717975797891,"ABCG1","Gene Expression",30687,FALSE,FALSE,FALSE,30687,0.144368603825569,88.6951972915922,39189,TRUE,0.0849125543053423,0.926607830270251,0.641977727413177,"ABCG1",0,"6","1",0.17471037762248,-1.99764661278822
"6","ABLIM1","OK",0,108.978821882524,0.153963657485913,"ABLIM1","Gene Expression",63400,FALSE,FALSE,FALSE,63400,0.387281686067581,76.6440352034069,105128,TRUE,0.203805144545912,1.12131137126528,0.930423319339752,"ABLIM1",0,"2","1",0.222355469632978,-2.46872423377134
"7","ABR","OK",1.24744128450239e-171,27.902402217424,0.0394011180257338,"ABR","Gene Expression",70320,FALSE,FALSE,FALSE,70320,0.36535507440567,74.0947721688261,99176,TRUE,0.234776388112808,0.879242314624623,0.571807563304901,"ABR",2.11699318966041e-171,"3","1",-0.0570053015462211,-0.631574852133768
"8","ACER3","OK",0,73.8475111132878,0.104323074167753,"ACER3","Gene Expression",115102,FALSE,FALSE,FALSE,115102,0.77646791934967,57.5975037852135,210773,TRUE,0.386093092990924,0.787005283565176,0.520286798477173,"ACER3",0,"7","1",1.66048489468181,3.04929472718142
"9","ACOXL","OK",3.3342809438933e-114,22.6825032516624,0.0320071877103222,"ACOXL","Gene Expression",13246,FALSE,FALSE,FALSE,13246,0.0675517842173576,95.1202979543269,18337,TRUE,0.0586313492189436,1.14963361126588,0.97238165140152,"ACOXL",5.07200108545521e-114,"4","1",-1.83921422107137,0.238137739037497
"10","ACP3","OK",1.61726066520367e-112,22.5110589572135,0.0317203120803912,"ACP3","Gene Expression",4716,FALSE,FALSE,FALSE,4716,0.019465759396553,98.2626698741209,5284,TRUE,0.0228236847434313,1.00062520588555,0.751631557941437,"ACP3",2.45117907366142e-112,"4","1",-3.02388443095601,0.610891597603781
"11","ACP5","OK",0,80.4347015067226,0.113625038303936,"ACP5","Gene Expression",28596,FALSE,FALSE,FALSE,28596,0.135015159845352,89.4655020611455,36650,TRUE,0.0775108412801754,1.06509454672974,0.847140312194824,"ACP5",0,"8","1",-1.61964644534505,-3.66669700827696
"12","ACSBG1","OK",1.90493971942854e-277,35.5719084922126,0.0502148417148427,"ACSBG1","Gene Expression",5985,FALSE,FALSE,FALSE,5985,0.0256399866193533,97.7951821875771,6960,TRUE,0.0182119938757159,0.833634413864735,0.504241287708282,"ACSBG1",3.76650320236155e-277,"5","1",-1.80155123813069,2.68192269120119
"13","ACSL4","OK",0,94.3845733687124,0.133342878616857,"ACSL4","Gene Expression",134534,FALSE,FALSE,FALSE,134534,1.04292488098145,50.4389374141189,283103,TRUE,0.484936295545197,0.947113098178033,0.953330039978027,"ACSL4",0,"7","1",-0.122153178285723,3.24426533493899
"14","ACSL6","OK",5.55664489470881e-174,28.0955156675991,0.0396660615733139,"ACSL6","Gene Expression",13880,FALSE,FALSE,FALSE,13880,0.0618490986526012,94.886738306361,16789,TRUE,0.0574154167773617,1.24173017109212,1.10881900787354,"ACSL6",9.48406876377818e-174,"6","1",-1.34683789355672,-0.678382081652658
"15","ACY3","OK",1.3051587885878e-40,13.2910097217385,0.0187226065824898,"ACY3","Gene Expression",6231,FALSE,FALSE,FALSE,6231,0.0359291359782219,97.7045580970415,9753,TRUE,0.0426158246004299,1.2442894030494,1.1126104593277,"ACY3",1.6686815432006e-40,"4","1",-3.07579912288106,-0.354497594500559
"16","ADAM17","OK",4.08619450991897e-32,11.7376520161489,0.01656042361668,"ADAM17","Gene Expression",97691,FALSE,FALSE,FALSE,97691,0.544569730758667,64.0115527295902,147824,TRUE,0.307630917089613,0.874590384077879,0.757178068161011,"ADAM17",5.06581163514047e-32,"10","1",2.220429524351,0.865185039376242
"17","ADAM19","OK",1.83028506788729e-33,11.9975302795275,0.0169239232377005,"ADAM19","Gene Expression",12134,FALSE,FALSE,FALSE,12134,0.0541939437389374,95.5299483147971,14711,TRUE,0.0319858158670812,0.971998805250647,0.709222674369812,"ADAM19",2.28265354965716e-33,"9","1",0.646458252836103,-2.03819773879148
"18","ADAM22","OK",0,126.607886353205,0.17886610035308,"ADAM22","Gene Expression",59452,FALSE,FALSE,FALSE,59452,0.456778585910797,78.0984413393209,123993,TRUE,0.205825226094977,0.853173064945149,0.533187031745911,"ADAM22",0,"5","1",-1.37576665027059,3.72100140366457
"19","ADAM28","OK",0,38.6321104491281,0.0545106021439725,"ADAM28","Gene Expression",8059,FALSE,FALSE,FALSE,8059,0.0444463267922401,97.0311400584267,12065,TRUE,0.0432792445928126,1.23754262269139,1.10261535644531,"ADAM28",0,"15","1",-0.113211527895098,-4.63007901396849
"20","ADAMDEC1","OK",0,108.423177327004,0.152797006079398,"ADAMDEC1","Gene Expression",8406,FALSE,FALSE,FALSE,8406,0.0509631559252739,96.9033085160858,13834,TRUE,0.0636503558562079,1.28065363424141,1.16648268699646,"ADAMDEC1",0,"4","1",-3.22313274485982,0.458120243882162
"21","ADAMTS5","OK",5.56352955492587e-11,6.45078727958649,0.00897149568990715,"ADAMTS5","Gene Expression",3777,FALSE,FALSE,FALSE,3777,0.0206925012171268,98.6085886587266,5617,TRUE,0.0304341792261329,1.34693037278369,1.26466906070709,"ADAMTS5",6.31159259252341e-11,"4","1",-3.4843748961202,0.513759272431356
"22","ADAMTS6","OK",1.12296701053226e-21,9.4929469013739,0.0133877532666339,"ADAMTS6","Gene Expression",30649,FALSE,FALSE,FALSE,30649,0.156772315502167,88.7091961348457,42556,TRUE,0.0849611154347153,0.996816868191401,0.745989620685577,"ADAMTS6",1.34497887928117e-21,"10","1",1.91735087292277,0.016293661927206
"23","ADAP1","OK",6.14813523476935e-55,15.5664952243886,0.0219435224539842,"ADAP1","Gene Expression",10216,FALSE,FALSE,FALSE,10216,0.0476071201264858,96.2365215084859,12923,TRUE,0.0478843560235402,0.839256527086837,0.512570202350616,"ADAP1",8.202761734481e-55,"4","1",-3.30432762248433,-0.173680765296
"24","ADAP2","OK",0.00909299222795927,2.36180950312468,0.00330810316799206,"ADAP2","Gene Expression",4302,FALSE,FALSE,FALSE,4302,0.0184268988668919,98.4151835874615,5002,TRUE,0.0163644572867492,1.31980953369346,1.22449052333832,"ADAP2",0.00970291643782238,"6","1",-1.35164870364583,-1.31039736952879
"25","ADARB2","OK",0,56.7467410007107,0.0801557705465913,"ADARB2","Gene Expression",32749,FALSE,FALSE,FALSE,32749,0.244961336255074,87.935575849785,66495,TRUE,0.154195925722173,1.62713903994296,1.67978715896606,"ADARB2",0,"7","1",0.511747940946455,1.94360639367006
"26","ADCY2","OK",1.71751020963362e-83,19.3230839943847,0.02727055949234,"ADCY2","Gene Expression",8071,FALSE,FALSE,FALSE,8071,0.0482481196522713,97.0267193710835,13097,TRUE,0.0287442126995212,1.09000748538835,0.884047865867615,"ADCY2",2.45830444840417e-83,"6","1",-0.41811074359334,-1.19995591018595
"27","ADCY5","OK",0,174.068992639203,0.245800611961093,"ADCY5","Gene Expression",6603,FALSE,FALSE,FALSE,6603,0.0411308109760284,97.5675167894021,11165,TRUE,0.014156384112011,0.86211943697771,0.546440720558167,"ADCY5",0,"12","1",-0.738041773866778,4.59610583100222
"28","ADGRB3","OK",0,275.178851990263,0.388807470815564,"ADGRB3","Gene Expression",148778,FALSE,FALSE,FALSE,148778,2.58549785614014,45.1915815377361,701836,TRUE,0.940381474725424,2.28494536259532,2.43640899658203,"ADGRB3",0,"6","1",0.047036274839277,-1.59706301775076
"29","ADGRE1","OK",9.38340433848275e-48,14.4699281557443,0.0203960820061884,"ADGRE1","Gene Expression",3051,FALSE,FALSE,FALSE,3051,0.0121937291696668,98.8760402429904,3310,TRUE,0.0126054462801577,1.08146284837185,0.871389329433441,"ADGRE1",1.22295276056273e-47,"4","1",-2.50704421145833,0.656829731797201
"30","ADGRE2","OK",3.60267431365455e-122,23.4758168848958,0.0331440570096954,"ADGRE2","Gene Expression",41730,FALSE,FALSE,FALSE,41730,0.19463549554348,84.627059764009,52834,TRUE,0.171750962475826,1.00210488347094,0.753823637962341,"ADGRE2",5.57384801013815e-122,"11","1",-0.21582450015462,-5.10677073683836
"31","ADGRE5","OK",4.67960645023337e-20,9.09614833745905,0.0128252483200791,"ADGRE5","Gene Expression",22366,FALSE,FALSE,FALSE,22366,0.0954463258385658,91.7605755734921,25909,TRUE,0.0827961013894818,1.02302732225652,0.784819424152374,"ADGRE5",5.57592901217058e-20,"11","1",-0.292983904909258,-5.19605801787474
"32","ADGRG3","OK",3.98901164851105e-255,34.0977016364988,0.0481452190981312,"ADGRG3","Gene Expression",22502,FALSE,FALSE,FALSE,22502,0.105901248753071,91.7104744502691,28747,TRUE,0.131419486457152,1.33254509506999,1.24335777759552,"ADGRG3",7.59881195200826e-255,"6","1",-1.50133027179158,-1.46672643509008
"33","ADGRG6","OK",0,71.9540294479769,0.101628636273875,"ADGRG6","Gene Expression",8955,FALSE,FALSE,FALSE,8955,0.0422138795256615,96.7010620701342,11459,TRUE,0.0221913412819263,1.02628074379788,0.789639234542847,"ADGRG6",0,"2","1",0.28676043408,-3.36674736228086
"34","ADGRL2","OK",1.00069626545601e-92,20.3912088619702,0.0287860380747419,"ADGRL2","Gene Expression",47261,FALSE,FALSE,FALSE,47261,0.287156790494919,82.589491289404,77949,TRUE,0.171728129412822,1.55587501202211,1.57421231269836,"ADGRL2",1.46656189677238e-92,"1","1",1.98856173412883,2.47895409378908
"35","ADGRL3","OK",6.59197615471537e-257,34.2177141685386,0.0483199204517256,"ADGRL3","Gene Expression",17007,FALSE,FALSE,FALSE,17007,0.095483161509037,93.7347808628445,25919,TRUE,0.0364830194427522,0.882437728291701,0.576541483402252,"ADGRL3",1.26149479397859e-256,"2","1",-0.19833649737752,-2.59787069048979
"36","ADIPOR2","OK",0,71.407350667827,0.100875419854858,"ADIPOR2","Gene Expression",141817,FALSE,FALSE,FALSE,141817,1.07029628753662,47.7559485874062,290533,TRUE,0.522084148385269,0.815448785115972,0.597217857837677,"ADIPOR2",0,"7","1",1.05730830090129,3.30934788498781
"37","ADK","OK",0,121.935018932429,0.172270437415103,"ADK","Gene Expression",196944,FALSE,FALSE,FALSE,196944,2.74310278892517,27.4476793233401,744618,TRUE,0.94919153821116,1.23431638827668,0.699251890182495,"ADK",0,"7","1",2.13371764080607,3.07487465653322
"38","ADRB2","OK",7.10561604472178e-135,24.6885071143457,0.0348333450904737,"ADRB2","Gene Expression",4823,FALSE,FALSE,FALSE,4823,0.0193773470818996,98.223252078644,5260,TRUE,0.0154713104012137,0.995196594700748,0.743589282035828,"ADRB2",1.12438146068339e-134,"2","1",-0.564598456453448,-3.86937854971983
"39","AFAP1L1","OK",2.32974163947973e-196,29.871189138799,0.0421761664878587,"AFAP1L1","Gene Expression",9453,FALSE,FALSE,FALSE,9453,0.0449436530470848,96.5176035453913,12200,TRUE,0.0202934148331757,1.0657235356877,0.848072171211243,"AFAP1L1",4.10066011543561e-196,"2","1",-0.284897223543291,-2.65007041182615
"40","AFDN","OK",0,50.4254936922038,0.0712265751012483,"AFDN","Gene Expression",59979,FALSE,FALSE,FALSE,59979,0.353828132152557,77.9042994868319,96047,TRUE,0.179552907288264,0.88755956576323,0.584129273891449,"AFDN",0,"2","1",-0.266013995241289,-2.8245414325247
"41","AFF1","OK",1.58577289032248e-300,37.0346577008684,0.0523049674243111,"AFF1","Gene Expression",197165,FALSE,FALSE,FALSE,197165,2.45491075515747,27.3662649981028,666388,TRUE,0.917302057572627,1.32146349904588,0.843344807624817,"AFF1",3.23361125580436e-300,"10","1",1.89532671825969,0.00874354157350732
"42","AFF2","OK",0,218.808222590203,0.309140712583147,"AFF2","Gene Expression",57847,FALSE,FALSE,FALSE,57847,0.381096392869949,78.6897082714744,103449,TRUE,0.34407597301935,1.6736072988233,2.91827726364136,"AFF2",0,"5","1",-2.0464481268636,2.51467348847292
"43","AFF3","OK",0,121.183605073854,0.171210323627672,"AFF3","Gene Expression",174039,FALSE,FALSE,FALSE,174039,3.42123246192932,35.8856662896803,928697,TRUE,1.1294467409998,1.94932949179344,1.88148665428162,"AFF3",0,"1","1",1.42393599407756,1.74134494576357
"44","AGAP1","OK",0,205.396851865415,0.290206197902989,"AGAP1","Gene Expression",154038,FALSE,FALSE,FALSE,154038,1.96548914909363,43.2538469189651,533534,TRUE,0.768762771437548,1.53280999983945,1.880526304245,"AGAP1",0,"7","1",-0.00937928302205115,3.11524845871828
"45","AGTPBP1","OK",2.803719492455e-55,15.6166512255546,0.0220415342399534,"AGTPBP1","Gene Expression",105858,FALSE,FALSE,FALSE,105858,0.632316708564758,61.0029066019282,171643,TRUE,0.343543366710341,0.86796925457465,0.739269912242889,"AGTPBP1",3.7454816809463e-55,"1","1",2.54965792553508,1.55740906510256
"46","AHI1","OK",0,49.2719049760011,0.0695971336383562,"AHI1","Gene Expression",106986,FALSE,FALSE,FALSE,106986,0.684105038642883,60.587361991667,185701,TRUE,0.346842646956439,0.782774749268392,0.508844494819641,"AHI1",0,"1","1",1.61713181393229,0.755193250512106
"47","AHNAK","OK",0,71.68154478068,0.101258901640842,"AHNAK","Gene Expression",64612,FALSE,FALSE,FALSE,64612,0.621718108654022,76.1975457817433,168766,TRUE,0.4154689654199,1.69846268364815,2.98550367355347,"AHNAK",0,"2","1",-0.463138476442461,-2.74415801253416
"48","AHR","OK",0,61.6052484552147,0.087024521193524,"AHR","Gene Expression",106074,FALSE,FALSE,FALSE,106074,0.71096807718277,60.9233342297505,192993,TRUE,0.372622187673137,1.33474594817181,2.00175976753235,"AHR",0,"2","1",0.28940878765666,-2.47334669318296
"49","AIF1","OK",0,182.864215964154,0.258363814769293,"AIF1","Gene Expression",157524,FALSE,FALSE,FALSE,157524,2.28076529502869,41.9696372457644,619116,TRUE,0.866509689099036,1.60888716859553,1.3185840845108,"AIF1",0,"8","1",-1.93010129077352,-3.12023971762754
"50","AIM2","OK",1.34374797556972e-238,32.9637535522289,0.046541412468406,"AIM2","Gene Expression",30285,FALSE,FALSE,FALSE,30285,0.195497527718544,88.8432903175895,53068,TRUE,0.177308611382811,1.35318350780159,1.27393281459808,"AIM2",2.52058576155472e-238,"11","1",-0.588443652223711,-4.78849480834104
"51","AKAP12","OK",0.0241628253629889,1.97449354477457,0.00275903917902473,"AKAP12","Gene Expression",7587,FALSE,FALSE,FALSE,7587,0.125002309679985,97.2050204272594,33932,TRUE,0.109038047331874,2.97634160376921,3.67857766151428,"AKAP12",0.0255610802317101,"6","1",-1.56324042422689,-1.95957134451963
