"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"511","MPP.5","CC","GO:0005839","proteasome core complex","8/1065","17/9500",0.000233087239546858,0.00263143225698953,0.00222110832144374,"720175/701683/710028/712193/677719/698435/700251/694318",8
"512","MPP.5","CC","GO:0031970","organelle envelope lumen","14/1065","47/9500",0.000440509621036696,0.00472446568561857,0.00398777130622694,"722013/698458/708377/714115/699254/702885/709737/705930/707881/700814/697156/713306/721227/714602",14
"513","MPP.5","CC","GO:0090734","site of DNA damage","14/1065","47/9500",0.000440509621036696,0.00472446568561857,0.00398777130622694,"696248/711191/701994/713186/707874/704708/699570/703477/718112/696673/710227/701955/716125/709060",14
"514","MPP.5","CC","GO:0097525","spliceosomal snRNP complex","12/1065","37/9500",0.000473892027294172,0.00495852877339512,0.00418533651833621,"716578/701060/697669/698969/701418/708283/703226/711683/715183/705655/708569/702730",12
"515","MPP.5","CC","GO:0140535","intracellular protein-containing complex","80/1065","498/9500",0.000485738465623823,0.00496147147030048,0.00418782035525301,"707989/712634/717164/716701/710253/700100/716541/715288/720175/100423709/707526/712412/693601/708029/710562/699763/708514/697324/707995/712921/713813/700330/714909/707874/700617/704708/705074/718548/710252/701683/714508/713356/710028/702500/720005/702317/106995370/699316/712193/677719/106997590/715758/698435/704923/708260/700251/696640/712859/699945/718376/699928/717979/697559/699566/711887/701181/694318/715453/713056/705035/100426053/700770/700592/714285/718755/717258/100429040/706788/711900/574204/703294/718333/100425351/714558/715278/700674/707201/699367/716934/699202",80
"516","MPP.5","CC","GO:0005635","nuclear envelope","36/1065","184/9500",0.000563976692206759,0.00562665118503953,0.00474927740805692,"574353/715650/703575/707879/698969/709590/700469/700488/100426602/716910/699377/700414/100426308/696208/710700/100430009/718214/713998/718376/722288/693387/710207/709568/100426110/717100/710084/698252/703600/697339/705628/698744/700203/703530/701663/708886/708349",36
"517","MPP.5","CC","GO:0031965","nuclear membrane","26/1065","119/9500",0.000583860244576412,0.00569263738462001,0.00480497426158578,"574353/715650/703575/707879/698969/709590/700469/700414/100426308/696208/710700/100430009/718214/713998/718376/722288/710207/709568/100426110/710084/698252/703600/705628/701663/708886/708349",26
"518","MPP.5","CC","GO:0099080","supramolecular complex","75/1065","467/9500",0.000730508809632679,0.00696418398516487,0.00587824632780448,"709643/574113/705180/703575/702251/699620/693599/708574/702583/702198/708481/693637/695498/705381/703226/720965/677711/702839/710680/696621/714043/100426602/712355/706401/699377/712202/700414/701683/702500/699174/700712/719305/696232/701030/702360/704923/703477/718214/696640/714658/695229/697014/715453/106998065/710150/711473/699504/711994/699624/711862/697339/705628/716083/721041/722628/719201/710371/709783/708325/699775/693504/696604/716424/698190/708908/713606/695085/714643/714451/703973/707860/720855/700449/707372/710378",75
"519","MPP.5","CC","GO:0071011","precatalytic spliceosome","10/1065","29/9500",0.000813253753039838,0.00758447521856719,0.00640181444040514,"716578/698969/708283/703226/711683/715183/717824/705655/708569/696224",10
"520","MPP.5","CC","GO:0120114","Sm-like protein family complex","14/1065","50/9500",0.000877209954263846,0.00800687383785511,0.00675834768794542,"716578/701060/697669/698969/701418/708283/703226/711683/715183/716917/705655/708569/698881/702730",14
"521","MPP.5","CC","GO:0072686","mitotic spindle","16/1065","63/9500",0.00123527496664471,0.0110402700143871,0.00931874097644254,"574113/677711/702839/704730/699570/699174/100426308/700712/702360/715032/711887/719053/100426053/704467/708325/698190",16
"522","MPP.5","CC","GO:0005819","spindle","31/1065","159/9500",0.00140448730112844,0.0122964296364102,0.0103790253832048,"574113/698157/705381/677711/702839/716009/704730/700414/699570/699174/100426308/700712/702360/715032/711153/697747/711887/696673/719053/711473/100426053/699504/699624/704467/711862/703219/722628/708325/697991/698190/696535",31
"523","MPP.5","CC","GO:0030532","small nuclear ribonucleoprotein complex","12/1065","42/9500",0.00166645045477741,0.0142981449019902,0.0120686096093353,"716578/701060/697669/698969/701418/708283/703226/711683/715183/705655/708569/702730",12
"524","MPP.5","CC","GO:0032993","protein-DNA complex","66/1065","416/9500",0.00204355938906657,0.0171899407433247,0.0145094825560145,"717548/710766/708320/693426/718006/710888/714686/695531/696248/707651/714126/717646/718536/721861/715650/702520/710253/700100/716541/712460/715701/707142/711191/703350/695206/693601/708029/697057/710562/699763/716398/713843/720265/712921/701994/713186/708377/705074/695933/709275/708066/699230/702500/705203/696208/716436/703477/700773/718376/722589/711040/696673/708302/715453/712065/700384/699190/100426053/697378/697577/716564/714558/713391/716842/702353/695776",66
"525","MPP.5","CC","GO:0005684","U2-type spliceosomal complex","13/1065","49/9500",0.00226917460453834,0.0187206904874413,0.0158015397562994,"716578/698969/708283/703226/711683/720759/715183/717824/712141/100428826/705655/708569/696224",13
