Adult_BM,Early2nd_FL,Early3rd_BM,Early3rd_FL,Late2nd_BM,Late2nd_FL
LOC101926276,LOC102135848,TMC8,MOB3B,KIT,RPL24
IFI44,ATP5MG,IGFL4,RIPOR2,CYP26A1,IER2
TSC22D3,TOMM6,GXYLT2,SLC24A3,LOC102117971,EIF1
LOC107129497,AKR1B1,ADGRG6,LOC102116444,OSBPL10,IL12RB2
LOC123568321,ATP5ME,RAPGEF5,ANKRD62,CD38,ID1
IL7,LOC102130495,CACNA1F,RBM11,RPL23,GAL
NFKBIZ,ATP5MF,LOC102117187,SEL1L3,AIF1,LOC102127256
PRKD1,LOC102125550,NSA2,MAN1A2,CD52,KLF6
LOC123575187,PIM1,CISH,KCNA3,RPS11,MAB21L4
PLCB1,LOC102146504,CD74,LOC107128255,LOC102135934,LOC123570612
SOCS3,NCL,DPYD,LOC102137173,TSPAN7,LOC123568979
MOB3B,NDUFS8,LPAR6,LDLR,CXCR4,RPL23
LOC123572290,PLAC8,GRM4,MAN1A1,LOC107129062,CLEC2B
