"","id","status","p_value","morans_test_statistic","morans_I","gene_ids","feature_types","n_cells","mt","ribo","hb","n_cells_by_counts","mean_counts","pct_dropout_by_counts","total_counts","highly_variable","means","dispersions","dispersions_norm","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"1","AAK1","OK",3.11396769478844e-53,15.3133425027598,0.0322837530919907,"AAK1","Gene Expression",109815,FALSE,FALSE,FALSE,109815,0.700612604618073,59.5451849505067,190182,TRUE,0.442610375681915,1.25041633575876,1.7736736536026,"AAK1",6.28224877960226e-53,"7","1",3.05847753246621,-1.39927356416856
"2","ABCA1","OK",1.9813708885101e-23,9.904923255571,0.020852108279518,"ABCA1","Gene Expression",19589,FALSE,FALSE,FALSE,19589,0.0902372822165489,92.7835963028318,24495,TRUE,0.0753436224614146,1.15158886330967,0.975278258323669,"ABCA1",3.2405453180503e-23,"1","1",-2.50648974219962,-0.820483853170021
"3","ABCB1","OK",0,96.6901510134557,0.204130676889314,"ABCB1","Gene Expression",26495,FALSE,FALSE,FALSE,26495,0.160684615373611,90.2394907368181,43618,TRUE,0.0658999969923143,1.03942476676671,0.809111595153809,"ABCB1",0,"1","1",-3.80361126701041,-0.518952538320168
"4","ABCC4","OK",0,119.06677007091,0.251399146682435,"ABCC4","Gene Expression",112739,FALSE,FALSE,FALSE,112739,0.915439605712891,58.4680108012127,248497,TRUE,0.436430894481976,0.86655245458812,0.735437870025635,"ABCC4",0,"5","1",3.89170397480325,0.674193213632957
"5","ABCG1","OK",0,46.4113082699473,0.097946180658719,"ABCG1","Gene Expression",30687,FALSE,FALSE,FALSE,30687,0.144368603825569,88.6951972915922,39189,TRUE,0.0849125543053423,0.926607830270251,0.641977727413177,"ABCG1",0,"1","1",-3.63580607215567,-0.167244126149757
"6","ABLIM1","OK",0,87.9567678356289,0.185696131565516,"ABLIM1","Gene Expression",63400,FALSE,FALSE,FALSE,63400,0.387281686067581,76.6440352034069,105128,TRUE,0.203805144545912,1.12131137126528,0.930423319339752,"ABLIM1",0,"1","1",-3.13155554572745,-0.778518845388039
"7","ABR","OK",5.32676519962364e-06,4.40346535430407,0.00924306449456101,"ABR","Gene Expression",70320,FALSE,FALSE,FALSE,70320,0.36535507440567,74.0947721688261,99176,TRUE,0.234776388112808,0.879242314624623,0.571807563304901,"ABR",6.90126020262379e-06,"2","1",-1.5447082404296,-1.41669910127793
"8","ACER3","OK",0,97.679926674702,0.206234701176144,"ACER3","Gene Expression",115102,FALSE,FALSE,FALSE,115102,0.77646791934967,57.5975037852135,210773,TRUE,0.386093092990924,0.787005283565176,0.520286798477173,"ACER3",0,"5","1",4.58390332420663,0.188521216562645
"9","ACP5","OK",0,73.1392935763183,0.154392496468918,"ACP5","Gene Expression",28596,FALSE,FALSE,FALSE,28596,0.135015159845352,89.4655020611455,36650,TRUE,0.0775108412801754,1.06509454672974,0.847140312194824,"ACP5",0,"4","1",-4.9461245421569,0.759910414865868
"10","ACSBG1","OK",7.75566226151326e-15,7.6832411178844,0.0161500704246768,"ACSBG1","Gene Expression",5985,FALSE,FALSE,FALSE,5985,0.0256399866193533,97.7951821875771,6960,TRUE,0.0182119938757159,0.833634413864735,0.504241287708282,"ACSBG1",1.14845581994812e-14,"6","1",3.80709804256753,2.12156278913345
"11","ACSL4","OK",0,81.1673136573439,0.171362545990997,"ACSL4","Gene Expression",134534,FALSE,FALSE,FALSE,134534,1.04292488098145,50.4389374141189,283103,TRUE,0.484936295545197,0.947113098178033,0.953330039978027,"ACSL4",0,"5","1",4.05104101856546,0.467468093088524
"12","ACSL6","OK",2.04833825961717e-22,9.66866990002389,0.0203395624919528,"ACSL6","Gene Expression",13880,FALSE,FALSE,FALSE,13880,0.0618490986526012,94.886738306361,16789,TRUE,0.0574154167773617,1.24173017109212,1.10881900787354,"ACSL6",3.30080515210754e-22,"8","1",-4.28159521857901,0.107252429178612
"13","ACY3","OK",0.000393501449357857,3.3573258979884,0.00697437265615099,"ACY3","Gene Expression",6231,FALSE,FALSE,FALSE,6231,0.0359291359782219,97.7045580970415,9753,TRUE,0.0426158246004299,1.2442894030494,1.1126104593277,"ACY3",0.000489701146182342,"8","1",-4.18319033424064,0.964409182718651
"14","ADAM17","OK",9.76120137005475e-05,3.72511780886023,0.00781084922908788,"ADAM17","Gene Expression",97691,FALSE,FALSE,FALSE,97691,0.544569730758667,64.0115527295902,147824,TRUE,0.307630917089613,0.874590384077879,0.757178068161011,"ADAM17",0.000123168613651236,"3","1",1.700769435962,-1.95506446535264
"15","ADAM19","OK",8.89668083346093e-05,3.74844602814752,0.00785662963912686,"ADAM19","Gene Expression",12134,FALSE,FALSE,FALSE,12134,0.0541939437389374,95.5299483147971,14711,TRUE,0.0319858158670812,0.971998805250647,0.709222674369812,"ADAM19",0.000112396174121758,"1","1",-2.23834322730704,-0.577451397725685
"16","ADAM22","OK",0,56.2905784249068,0.118814126759323,"ADAM22","Gene Expression",59452,FALSE,FALSE,FALSE,59452,0.456778585910797,78.0984413393209,123993,TRUE,0.205825226094977,0.853173064945149,0.533187031745911,"ADAM22",0,"5","1",4.54072810371713,0.475361655405418
"17","ADARB2","OK",0,62.9007400766676,0.132769144702417,"ADARB2","Gene Expression",32749,FALSE,FALSE,FALSE,32749,0.244961336255074,87.935575849785,66495,TRUE,0.154195925722173,1.62713903994296,1.67978715896606,"ADARB2",0,"2","1",-1.29959534446402,-0.649929692098244
