"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"115","Adult_BM","BP","GO:0051174","regulation of phosphorus metabolic process","48/517","488/8716",0.000326171534091718,0.018396517930899,0.0161164741126382,"574293/702981/695091/719320/574296/697017/716937/706919/704310/693359/710591/715615/711717/711877/716452/702396/100430739/703088/100424484/721324/717204/697755/704130/702502/100428720/707749/704449/702103/710441/718350/705680/707540/695757/710643/717994/708907/695567/719199/710796/694915/699955/698766/710262/697986/707234/613032/717751/705056",48
"116","Adult_BM","BP","GO:0007167","enzyme-linked receptor protein signaling pathway","40/517","384/8716",0.000326389834257886,0.018396517930899,0.0161164741126382,"702077/695091/719320/697826/697017/716937/718387/704310/710591/715615/700690/708839/716452/694328/702396/694022/100430739/703088/721324/706873/711355/697755/702502/718616/697099/716098/702103/714731/707540/699329/710643/707191/700068/694485/714451/713924/697573/697986/698697/715710",40
"117","Adult_BM","BP","GO:0040012","regulation of locomotion","40/517","384/8716",0.000326389834257886,0.018396517930899,0.0161164741126382,"711776/707158/702981/697826/697017/716937/718387/704310/693532/715615/713885/716452/574097/613028/100430739/703088/721324/698160/697755/707996/710036/696556/708778/702990/707749/716098/700632/702103/710441/702775/715952/707540/707876/714344/710643/695537/700068/714717/708425/705056",40
"118","Adult_BM","BP","GO:0043410","positive regulation of MAPK cascade","23/517","179/8716",0.000358383225801871,0.0198390714283179,0.0173802391460306,"707158/574296/697017/718387/704310/712799/716452/717204/711879/694037/707749/694750/702103/710441/707540/710643/717994/695567/710796/699955/693961/613032/717751",23
"119","Adult_BM","BP","GO:0035295","tube development","41/517","399/8716",0.00036619277920654,0.0199157476410574,0.0174474121948822,"613025/719320/697017/716937/710591/715615/694625/716452/706549/714608/697685/702396/694022/709723/613028/698954/100430739/703088/721324/711465/711355/100428142/697755/100427119/707749/716098/716990/702103/714731/710441/706198/697884/702775/715952/707540/710796/694416/694450/713924/714717/703997",41
"120","Adult_BM","BP","GO:0043068","positive regulation of programmed cell death","24/517","191/8716",0.000375959440392129,0.0200608574955836,0.0175745372966403,"697826/696908/710591/707539/716452/574097/710832/696712/100428720/712571/707749/716098/714740/700632/706198/707540/714405/708980/708907/695567/719199/695652/703997/711115",24
"121","Adult_BM","BP","GO:0031098","stress-activated protein kinase signaling cascade","16/517","104/8716",0.000381803416851429,0.0200608574955836,0.0175745372966403,"707158/702981/718387/722000/714950/711355/711879/710441/707540/695567/710324/699955/693961/695652/711115/705056",16
"122","Adult_BM","BP","GO:0051345","positive regulation of hydrolase activity","24/517","192/8716",0.000406401172960822,0.0209973939363091,0.0183950004603319,"697826/716937/693359/710591/717342/710956/711355/707996/697231/700311/707749/714740/700942/718350/707876/715322/698576/701278/695567/694485/698697/613032/711115/717165",24
"123","Adult_BM","BP","GO:0010634","positive regulation of epithelial cell migration","12/517","66/8716",0.000433188741954336,0.0220145098370237,0.0192860561560343,"697017/716937/715615/716452/703088/697755/707996/707749/716098/702775/707540/714717",12
"124","Adult_BM","BP","GO:2000145","regulation of cell motility","38/517","365/8716",0.00046414117111858,0.023207058555929,0.020330801723021,"707158/702981/697826/697017/716937/718387/704310/693532/715615/713885/716452/574097/100430739/703088/721324/698160/697755/707996/710036/696556/708778/702990/707749/716098/700632/702103/710441/702775/715952/707540/707876/714344/710643/695537/700068/714717/708425/705056",38
"125","Adult_BM","BP","GO:0032496","response to lipopolysaccharide","15/517","96/8716",0.000486777081452553,0.0239525230556018,0.0209838741879296,"695091/574296/722000/613028/699309/706255/704130/716003/714740/707876/695567/710324/711115/696778/705056",15
"126","Adult_BM","BP","GO:0030203","glycosaminoglycan metabolic process","10/517","50/8716",0.000589554768223961,0.0285386099247756,0.0250015665894468,"697017/700690/705964/703703/717204/704326/718187/700892/710324/715229",10
"127","Adult_BM","BP","GO:0031349","positive regulation of defense response","22/517","174/8716",0.000598390208100133,0.0285386099247756,0.0250015665894468,"711776/613025/574296/716937/574360/713737/698160/706255/704130/702502/707749/700732/574378/714740/693567/717994/701278/695567/699955/693961/711115/696778",22
"128","Adult_BM","BP","GO:0032924","activin receptor signaling pathway","5/517","13/8716",0.000622179174710379,0.0292235672970027,0.0256016311124845,"697826/721324/711355/700068/713924",5
